City,Rate,County
Hyde Park (Los Angeles*),0.09500,Los Angeles
Hydesville,0.07750,Humboldt
Idria,0.08250,San Benito
Idyllwild,0.07750,Riverside
Ignacio (Novato*),0.08500,Marin
Igo,0.07250,Shasta
Imola (Napa*),0.07750,Napa
Imperial Beach*,0.08750,San Diego
Imperial*,0.07750,Imperial
Independence,0.07750,Inyo
Indian Wells*,0.07750,Riverside
Indio*,0.08750,Riverside
Industry*,0.09500,Los Angeles
Inglewood*,0.10000,Los Angeles
Inverness,0.08250,Marin
Inyo,0.07750,Inyo
Inyokern,0.07250,Kern
Ione*,0.07750,Amador
Iowa Hill,0.07250,Placer
Irvine*,0.07750,Orange
Irwindale*,0.10250,Los Angeles
Isla Vista,0.07750,Santa Barbara
Island Mountain,0.07250,Trinity
Isleton*,0.08250,Sacramento
Ivanhoe,0.07750,Tulare
Ivanpah,0.07750,San Bernardino
Jackson*,0.07750,Amador
Jacumba,0.07750,San Diego
Jamacha,0.07750,San Diego
Jamestown,0.07250,Tuolumne
Jamul,0.07750,San Diego
Janesville,0.07250,Lassen
Jenner,0.08500,Sonoma
Johannesburg,0.07250,Kern
Johnsondale,0.07750,Tulare
Johnstonville,0.07250,Lassen
Johnstown,0.07750,San Diego
Jolon,0.07750,Monterey
Joshua Tree,0.07750,San Bernardino
Julian,0.07750,San Diego
Junction City,0.07250,Trinity
June Lake,0.07250,Mono
Juniper,0.07250,Lassen
Jurupa Valley*,0.07750,Riverside
Kagel Canyon,0.09500,Los Angeles
Kaweah,0.07750,Tulare
Keddie,0.07250,Plumas
Keeler,0.07750,Inyo
Keene,0.07250,Kern
Kelsey,0.07250,El Dorado
Kelseyville,0.07250,Lake
Kelso,0.07750,San Bernardino
Kensington,0.08750,Contra Costa
Kentfield,0.08250,Marin
Kenwood,0.08500,Sonoma
Kerman*,0.08975,Fresno
Kernville,0.07250,Kern
Keswick,0.07250,Shasta
Kettleman City,0.07250,Kings
