City,Rate,County
Fort Jones,0.0725,Siskiyou
Fort Ord,0.0775,Monterey
Fort Ord (Marina),0.0925,Monterey
Fort Ord (Seaside),0.0925,Monterey
Fort Seward,0.0775,Humboldt
Fortuna,0.085,Humboldt
Foster City,0.0925,San Mateo
Fountain Valley,0.0875,Orange
Fowler,0.08975,Fresno
Frazier Park,0.0725,Kern
Freedom,0.09,Santa Cruz
Freedom (Watsonville),0.0925,Santa Cruz
Freeport,0.0775,Sacramento
Freestone,0.0825,Sonoma
Fremont,0.0925,Alameda
French Camp,0.0775,San Joaquin
French Gulch,0.0725,Shasta
Freshwater,0.0775,Humboldt
Fresno,0.07975,Fresno
Friant,0.07975,Fresno
Friendly Valley (Santa Clarita),0.095,Los Angeles
Frontera,0.0775,Riverside
Fullerton,0.0775,Orange
Fulton,0.0825,Sonoma
Galt,0.0825,Sacramento
Garberville,0.0775,Humboldt
Garden Grove,0.0875,Orange
Garden Valley,0.0725,El Dorado
Gardena,0.095,Los Angeles
Garey,0.0775,Santa Barbara
Garnet,0.0775,Riverside
Gasquet,0.075,Del Norte
Gaviota,0.0775,Santa Barbara
Gazelle,0.0725,Siskiyou
George A.F.B.,0.0775,San Bernardino
Georgetown,0.0725,El Dorado
Gerber,0.0725,Tehama
Geyserville,0.0825,Sonoma
Giant Forest,0.0775,Tulare
Gillman Hot Springs,0.0775,Riverside
Gilroy,0.09,Santa Clara
Glassell Park (Los Angeles),0.095,Los Angeles
Glen Avon,0.0775,Riverside
Glen Ellen,0.0825,Sonoma
Glenburn,0.0725,Shasta
Glencoe,0.0725,Calaveras
Glendale,0.1025,Los Angeles
Glendora,0.1025,Los Angeles
Glenhaven,0.0725,Lake
Glenn,0.0725,Glenn
Glennville,0.0725,Kern
Gold River,0.0775,Sacramento
Gold Run,0.0725,Placer
Golden Hills,0.0725,Kern
Goleta,0.0775,Santa Barbara
Gonzales,0.0825,Monterey
Goodyears Bar,0.0725,Sierra
Gorman,0.095,Los Angeles
Goshen,0.0775,Tulare
Government Island,0.0925,Alameda
Graeagle,0.0725,Plumas
Granada Hills (Los Angeles),0.095,Los Angeles
Grand Terrace,0.0775,San Bernardino
Granite Bay,0.0725,Placer
Grass Valley,0.085,Nevada
Graton,0.0825,Sonoma
Green Valley,0.095,Los Angeles
Green Valley Lake,0.0775,San Bernardino
Greenacres,0.0725,Kern
Greenbrae (Larkspur),0.09,Marin
Greenfield,0.095,Monterey
Greenview,0.0725,Siskiyou
Greenville,0.0725,Plumas
Greenwood,0.0725,El Dorado
Grenada,0.0725,Siskiyou
Gridley,0.0725,Butte
Grimes,0.0725,Colusa
Grizzly Flats,0.0725,El Dorado
Groveland,0.0725,Tuolumne
Grover Beach,0.0775,San Luis Obispo
Guadalupe,0.08,Santa Barbara
Gualala,0.07875,Mendocino
Guasti (Ontario),0.0775,San Bernardino
Guatay,0.0775,San Diego
Guerneville,0.0825,Sonoma
Guinda,0.0725,Yolo
Gustine,0.0825,Merced
Hacienda Heights,0.095,Los Angeles
Halcyon,0.0725,San Luis Obispo
Half Moon Bay,0.0925,San Mateo
Hamilton A.F.B. (Novato),0.085,Marin
Hamilton City,0.0725,Glenn
Hanford,0.0725,Kings
Happy Camp,0.0725,Siskiyou
Harbison Canyon,0.0775,San Diego
Harbor City (Los Angeles),0.095,Los Angeles
Harmony,0.0725,San Luis Obispo
Harris,0.0775,Humboldt
Hat Creek,0.0725,Shasta
Hathaway Pines,0.0725,Calaveras
Havasu Lake,0.0775,San Bernardino
Hawaiian Gardens,0.095,Los Angeles
Hawthorne,0.1025,Los Angeles
Hayfork,0.0725,Trinity
Hayward,0.0975,Alameda
Hazard,0.095,Los Angeles
Healdsburg,0.0875,Sonoma
Heber,0.0775,Imperial
Helena,0.0725,Trinity
Helendale,0.0775,San Bernardino
Helm,0.07975,Fresno
Hemet,0.0875,Riverside
Herald,0.0775,Sacramento
Hercules,0.0875,Contra Costa
Herlong,0.0725,Lassen
Hermosa Beach,0.095,Los Angeles
Herndon,0.07975,Fresno
Hesperia,0.0775,San Bernardino
Heyer,0.0925,Alameda
Hickman,0.07875,Stanislaus
Hidden Hills,0.095,Los Angeles
Highgrove,0.0775,Riverside
Highland Park (Los Angeles),0.095,Los Angeles
Highland,0.0775,San Bernardino
Highway City (Fresno),0.07975,Fresno
Hillcrest (San Diego),0.0775,San Diego
Hillsborough,0.0925,San Mateo
Hillsdale (San Mateo),0.095,San Mateo
Hilmar,0.0775,Merced
Hilt,0.0725,Siskiyou
Hinkley,0.0775,San Bernardino
Hobergs,0.0725,Lake
Hollister,0.0925,San Benito
Hollywood (Los Angeles),0.095,Los Angeles
Holmes,0.0775,Humboldt
Holt,0.0775,San Joaquin
Holtville,0.0775,Imperial
Holy City,0.09,Santa Clara
Homeland,0.0775,Riverside
Homestead,0.0725,Kern
Homestead,0.0775,Riverside
Homewood,0.0725,Placer
Honby,0.095,Los Angeles
Honeydew,0.0775,Humboldt
Hood,0.0775,Sacramento
Hoopa,0.0775,Humboldt
Hope Valley (Forest Camp),0.0725,Alpine
Hopland,0.07875,Mendocino
Hornbrook,0.0725,Siskiyou
Hornitos,0.0775,Mariposa
Horse Creek,0.0725,Siskiyou
Horse Lake,0.0725,Lassen
Hughson,0.07875,Stanislaus
Hume,0.07975,Fresno
Huntington,0.0775,Orange
Huntington Beach,0.0775,Orange
Huntington Lake,0.07975,Fresno
Huntington Park,0.1025,Los Angeles
Huron,0.08975,Fresno
Hyampom,0.0725,Trinity
Hyde Park (Los Angeles),0.095,Los Angeles
Hydesville,0.0775,Humboldt
Idria,0.0825,San Benito
Idyllwild,0.0775,Riverside
Ignacio (Novato),0.085,Marin
Igo,0.0725,Shasta
Imola (Napa),0.0775,Napa
Imperial Beach,0.0775,San Diego
Imperial,0.0775,Imperial
Independence,0.0775,Inyo
Indian Wells,0.0775,Riverside
Indio,0.0875,Riverside
Industry,0.095,Los Angeles
Inglewood,0.1,Los Angeles
Inverness,0.0825,Marin
Inyo,0.0775,Inyo
Inyokern,0.0725,Kern
Ione,0.0775,Amador
Iowa Hill,0.0725,Placer
Irvine,0.0775,Orange
Irwindale,0.095,Los Angeles
Isla Vista,0.0775,Santa Barbara
Island Mountain,0.0725,Trinity
Isleton,0.0875,Sacramento
Ivanhoe,0.0775,Tulare
Ivanpah,0.0775,San Bernardino
Jackson,0.0775,Amador
Jacumba,0.0775,San Diego
Jamacha,0.0775,San Diego
Jamestown,0.0725,Tuolumne
Jamul,0.0775,San Diego
Janesville,0.0725,Lassen
Jenner,0.0825,Sonoma
Johannesburg,0.0725,Kern
Johnsondale,0.0775,Tulare
Johnstonville,0.0725,Lassen
Johnstown,0.0775,San Diego
Jolon,0.0775,Monterey
Joshua Tree,0.0775,San Bernardino
Julian,0.0775,San Diego
Junction City,0.0725,Trinity
June Lake,0.0725,Mono
Juniper,0.0725,Lassen
Jurupa Valley,0.0775,Riverside
Kagel Canyon,0.095,Los Angeles
Kaweah,0.0775,Tulare
Keddie,0.0725,Plumas
Keeler,0.0775,Inyo
Keene,0.0725,Kern
Kelsey,0.0725,El Dorado
Kelseyville,0.0725,Lake
Kelso,0.0775,San Bernardino
Kensington,0.0825,Contra Costa
Kentfield,0.0825,Marin
Kenwood,0.0825,Sonoma
Kerman,0.08975,Fresno
Kernville,0.0725,Kern
Keswick,0.0725,Shasta
Kettleman City,0.0725,Kings
Keyes,0.07875,Stanislaus
King City,0.0875,Monterey
Kings Beach,0.0725,Placer
Kings Canyon National Park,0.0775,Tulare
Kingsburg,0.08975,Fresno
Kinyon,0.0725,Siskiyou
Kirkwood,0.0725,Alpine
Kit Carson,0.0775,Amador
Klamath,0.075,Del Norte
Klamath River,0.0725,Siskiyou
Kneeland,0.0775,Humboldt
Knights Ferry,0.07875,Stanislaus
Knights Landing,0.0725,Yolo
Knightsen,0.0825,Contra Costa
Korbel,0.0775,Humboldt
Korbel,0.0825,Sonoma
Kyburz,0.0725,El Dorado
L.A. Airport (Los Angeles),0.095,Los Angeles
La Canada- Flintridge,0.095,Los Angeles
La Crescenta,0.095,Los Angeles
La Cresta Village,0.0725,Kern
La Grange,0.07875,Stanislaus
